,dataset,ensemble,alpha,threshold,Labels,Time,n_clusters,real_n,accuracy,F1_score
10,iris,Voting,0.3,mean,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 3 1 3 1 3 1 3 3 2 3 1 3 1 4 3 1 3 1 3 1 1
 1 1 1 1 1 3 3 3 3 1 3 1 1 2 3 3 3 1 3 3 3 3 3 2 3 3 1 1 1 1 1 5 3 5 1 5 1
 1 1 1 1 1 1 5 5 1 1 1 5 1 1 1 1 1 1 1 5 5 1 1 1 5 1 1 1 1 1 1 1 1 1 1 1 1
 1 1]",0.0020544529,6,3,0.4733333333,0.2297297297
11,iris,Graph,0.3,mean,"[2 2 2 1 2 2 1 1 2 1 2 1 2 1 1 1 2 2 2 1 1 1 2 2 1 1 1 1 1 1 2 1 2 1 1 2 1
 2 2 1 1 1 1 2 1 1 2 2 1 1 6 6 6 4 6 4 6 2 6 4 4 6 4 6 4 6 5 4 6 4 5 4 5 6
 6 6 6 6 6 4 4 4 4 5 4 6 6 6 4 4 4 6 4 4 4 4 4 6 4 4 3 5 3 3 3 0 4 0 3 0 3
 5 3 5 5 3 3 0 0 5 3 5 0 5 3 3 5 5 3 3 0 0 3 5 5 0 3 3 5 3 3 3 5 3 3 3 5 3
 3 5]",0.3404295444,7,3,0,0
12,wine,GMM_MCA,0.3,0.1,"[0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0
 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",9.5668745041,2,3,0.1629213483,0.0933977456
13,wine,GMM_Voting,0.3,0.1,"[2 2 1 3 6 3 1 1 2 2 3 1 1 3 3 1 1 2 3 1 6 6 2 2 1 1 1 1 1 2 1 3 2 1 2 1 1
 2 2 6 6 2 2 6 1 2 2 2 2 1 3 1 1 1 2 2 2 1 1 0 6 0 4 7 7 6 0 0 6 6 1 7 0 2
 1 0 7 0 6 0 7 6 4 0 0 0 0 0 6 4 0 0 0 7 7 3 4 0 6 7 6 0 0 7 6 7 0 0 7 6 0
 7 7 0 7 7 0 7 7 0 4 0 7 7 7 7 7 0 7 7 4 0 0 7 4 6 6 0 7 7 7 6 0 0 1 1 7 4
 4 0 0 0 0 6 4 6 0 1 6 4 0 6 0 6 4 0 6 6 6 4 0 0 6 6 6 1 1 0]",0.3247153759,7,3,0.0112359551,0.0056022409
14,wine,GMM_Pair,0.3,0.1,"[7 7 7 7 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 7 7 5 5 7 7 7 7 7 7 7 7 7 7 7
 7 7 5 5 7 7 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 5 1 3 4 4 5 1 1 5 5 7 4 2 7
 7 2 4 6 5 6 4 5 3 6 2 6 2 4 5 3 2 1 2 4 4 7 3 6 5 4 5 4 1 4 5 4 2 2 4 5 4
 4 0 6 4 4 2 4 4 4 3 1 4 4 4 4 4 1 4 0 3 6 4 0 5 5 5 6 0 0 0 5 6 4 5 5 4 3
 5 4 6 1 1 5 3 5 1 7 5 3 1 5 4 5 3 1 5 5 5 3 1 1 5 5 5 5 5 4]",0.0868108273,8,3,0.0393258427,0.0205882353
15,wine,MM,0.3,0.1,"[2 2 8 1 7 1 8 8 2 2 1 8 8 1 1 8 8 2 1 6 5 5 2 2 6 6 8 8 6 2 8 1 2 8 2 6 6
 2 2 5 5 2 2 7 6 2 2 2 2 8 1 8 8 8 2 2 2 8 8 3 7 3 7 4 4 7 3 3 5 7 6 4 3 2
 6 3 4 3 5 3 4 7 7 3 3 3 3 4 7 7 3 3 3 4 4 2 7 3 7 4 7 4 3 4 7 4 3 3 4 7 4
 4 4 3 4 4 3 4 4 4 7 3 4 4 4 4 4 3 4 4 7 3 4 4 7 7 7 3 4 4 4 5 3 4 6 6 4 7
 7 4 3 3 3 7 7 7 3 6 7 7 3 7 4 7 7 3 7 7 5 7 3 3 7 7 5 6 6 4]",956.7917170525,8,3,0,0
16,wine,Voting,0.3,0.1,"[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]",0.0196149349,2,3,0.0561797753,0.0429072682
17,wine,Graph,0.3,0.1,"[3 3 4 3 2 3 4 4 3 3 3 4 4 3 3 4 4 3 3 1 2 2 3 3 3 1 4 4 3 3 4 3 3 4 3 3 3
 3 3 2 2 3 3 2 3 3 3 3 3 4 3 4 4 4 3 3 3 4 4 1 2 1 1 1 1 2 1 1 2 2 3 1 1 3
 3 1 1 1 2 1 0 2 1 1 1 1 1 1 2 1 1 1 1 1 1 3 1 1 2 0 2 1 1 1 2 1 1 1 1 2 1
 0 1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 1 1 1 2 2 1 0 0 1 2 1 1 1 1 1 1
 1 1 1 1 1 2 1 2 1 3 2 1 1 2 1 2 1 1 2 2 2 1 1 1 2 2 2 3 1 1]",1.1730310917,5,3,0.3314606742,0.1925076976
18,iris,GMM_MCA,0.3,0.1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]",8.0245943069,1,3,0.3333333333,0.1666666667
19,iris,GMM_Voting,0.3,0.1,"[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 0 3 0 3 0 3 0 0 0 0 3 0 3 0 0 3 0 3 0 3 3
 3 3 3 3 3 0 0 0 0 3 0 3 3 3 0 0 0 3 0 0 0 0 0 3 0 0 3 3 3 3 3 0 0 0 3 0 3
 3 3 3 3 3 3 0 0 3 3 3 0 3 3 0 3 3 3 3 0 0 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3
 3 3]",0.2613990307,3,3,0,0
20,iris,GMM_Pair,0.3,0.1,"[3 3 3 3 3 3 3 4 3 3 3 3 4 0 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3
 3 3 3 3 3 0 3 0 0 4 4 3 4 6 6 6 1 6 1 6 1 6 1 1 5 1 6 1 6 1 1 6 1 5 1 5 6
 6 6 6 2 6 1 1 1 1 5 1 6 6 6 1 1 1 6 1 1 1 1 1 6 1 1 2 5 2 2 2 2 1 2 2 2 2
 2 2 5 5 2 2 2 2 5 2 5 2 5 2 2 5 5 2 2 2 2 2 5 5 2 2 2 5 2 2 2 5 2 2 2 5 2
 2 5]",0.0451657772,7,3,0.4333333333,0.2339180445
21,iris,MM,0.3,0.1,"[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 6 6 6 5 6 5 6 5 6 5 5 6 5 6 5 6 6 5 6 5 6 5 6 6
 6 6 6 6 6 5 5 5 5 6 5 6 6 6 5 5 5 6 5 5 5 5 5 6 5 5 2 6 2 2 2 6 5 6 2 6 2
 6 2 6 6 2 2 6 6 6 2 6 6 6 2 2 6 6 2 2 6 6 2 6 6 6 2 2 6 2 2 2 6 2 2 2 6 2
 2 6]",603.8048622608,4,3,0.1666666667,0.1111111111
